Module,Sub-Module,Job/File,Primary Data Product,360 Data Product,BI Mart,Reporting Mart,Report Name,KPI,Classification Reasoning
202512_SMS_Report,Revenue IM3,rev_load_mart_im3.sql,Revenue Fact,Subscriber360,SMS Report Revenue Mart,SMS Report Circle Summary,SMS Circle Report - IM3 Revenue,"Organic Data Revenue, Mobo Revenue, VAS Revenue, Voice Revenue, SMS Revenue, Loan Revenue, Other Revenue","Revenue breakdown by circle/region for IM3 brand; site-level revenue aggregated to circle; feeds SMS executive report with D-1/D-2/D-7/MTD/LMTD time flags"
202512_SMS_Report,Revenue 3ID,rev_load_mart_3id.sql,Revenue Fact,Subscriber360,SMS Report Revenue Mart,SMS Report Circle Summary,SMS Circle Report - 3ID Revenue,"Organic Data Revenue, Mobo Revenue, VAS Revenue, Voice Revenue, SMS Revenue, Loan Revenue, Other Revenue","Same revenue structure as IM3 but for TRI/3ID brand; includes RITA amortization/markup handling; site-level to circle aggregation"
202512_SMS_Report,Revenue Postpaid,rev_load_mart_post.sql,Billing Fact,Subscriber360,Postpaid SMS Report Mart,Postpaid SMS Report Summary,SMS Circle Report - Postpaid Revenue,"Billing Revenue, Usage Revenue","Postpaid revenue calendarized into weekly billing buckets (1-7d, 8-11d, etc.); mapped by customer favorite location to circle"
202512_SMS_Report,VLR IM3,vlr_load_mart_im3.sql,Subscriber Base,Subscriber360,SMS Report Subscriber Mart,SMS Report Circle Summary,SMS Circle Report - IM3 VLR,"VLR Daily Active, VLR 5G Subs, VLR 4G Subs, VLR 3G Subs, VLR 2G Subs","VLR (Visitor Location Register) distinct subscriber counts by network technology for IM3; measures network-registered active base"
202512_SMS_Report,VLR 3ID,vlr_load_mart_3id.sql,Subscriber Base,Subscriber360,SMS Report Subscriber Mart,SMS Report Circle Summary,SMS Circle Report - 3ID VLR,"VLR Daily Active, VLR 5G Subs, VLR 4G Subs, VLR 3G Subs, VLR 2G Subs","3ID brand VLR subscriber counts by technology generation; left-padded site_id for H3I reference matching"
202512_SMS_Report,VLR Postpaid,vlr_load_mart_post.sql,Subscriber Base,Subscriber360,Postpaid SMS Report Mart,Postpaid SMS Report Summary,SMS Circle Report - Postpaid VLR,"VLR Daily Active, VLR 5G Subs, VLR 4G Subs, VLR 3G Subs, VLR 2G Subs","Postpaid segment VLR counts by technology; filtered to non-prepaid subscribers"
202512_SMS_Report,Traffic IM3,trf_load_mart_im3.sql,Usage Fact,Subscriber360,SMS Report Traffic Mart,SMS Report Circle Summary,SMS Circle Report - IM3 Traffic,"Data UU Daily, Data UU 5G, Data UU 4G, Data UU 3G, Data UU 2G","Unique data users (UU) by technology for IM3; measures active data-consuming subscribers per technology layer"
202512_SMS_Report,Traffic 3ID,trf_load_mart_3id.sql,Usage Fact,Subscriber360,SMS Report Traffic Mart,SMS Report Circle Summary,SMS Circle Report - 3ID Traffic,"Data UU Daily, Data UU 5G, Data UU 4G, Data UU 3G, Data UU 2G","3ID unique data users by technology; sourced from project_ioh_data_user_daily with subscriber site attributes"
202512_SMS_Report,Traffic Postpaid,trf_load_mart_post.sql,Usage Fact,Subscriber360,Postpaid SMS Report Mart,Postpaid SMS Report Summary,SMS Circle Report - Postpaid Traffic,"Data Traffic Volume (TB)","Postpaid data traffic volume from GGSN hourly summary; aggregated to circle by customer favorite location"
202512_SMS_Report,UU IM3,uu_load_mart_im3.sql,Usage Fact,Subscriber360,SMS Report Traffic Mart,SMS Report Circle Summary,SMS Circle Report - IM3 UU,"Unique Users Daily, UU 5G, UU 4G, UU 3G, UU 2G","IM3 unique user counts from GGSN traffic with 5G detection via NIO appsrtgout; excludes specific rating groups"
