Module,Sub-Module,Job/File,Source System,Source Table/File,Target System,Target Table,Transformation Logic,Key Columns,Time Granularity
202602_Postpaid,Network,ne_perf_daily.py,SFTP (External),Excel files (network performance),BigQuery,data-bi-prd-935c.bi_dm.raw_iplinks_weekly_usage,SSH tunnel extraction; RAR file decompression; Excel parsing; column mapping,"site_id, usage_date, usage_value",Daily
202602_Postpaid,Network,ne_perf_weekly.py,SFTP (External),Excel files (weekly KPIs),BigQuery,"data-bi-prd-935c.bi_dm.raw_net_rsrp, raw_net_streaming, raw_net_eut, raw_net_suppress, raw_net_qoe, raw_net_voice",Week number calculation; RAR extraction; column mapping for RSRP/streaming/EUT/suppression/QoE/voice,"site_id, week_number, metric_value",Weekly
202602_Postpaid,Network,ne_perf_weekly.py,SFTP (External),Excel files (IP Links mapping),BigQuery,"data-bi-prd-935c.bi_dm.ref_iplinks_mapping_3id, ref_iplinks_mapping_im3",Reference data loading for IP links mapping,"site_id, mapping_fields",Ad-hoc
202602_Postpaid,Postpaid,gcp_daily_ga.py,FTP (10.34.17.62),raw_data_new_verification files,BigQuery,data-nationalslsdist-prd-986g.postpaid.raw_new_verification,"Encoding detection; delimiter fix (||Member → /Member); column standardization; 47 fields mapped","created, customer_ref, msisdn, activation_date, package_code, package_name, outlet_code, branch_name, region_name",Daily
202602_Postpaid,Postpaid,gcp_daily_ga.py,BigQuery,data-nationalslsdist-prd-986g.postpaid.raw_new_verification,HDFS (Hadoop),/data/rdm/upload/_rpm/dump_daily_ga/,SFTP upload to Hadoop; Impala refresh,"msisdn, activation_date, package_code",Daily
202602_Postpaid,Postpaid,reference_update.py,Excel files,Storelist Excel,BigQuery,data-nationalslsdist-prd-986g.postpaid.ref_storelist_base,"MERGE INTO with ROW_NUMBER() dedup; upsert on store_code","registered_date, closed_date, store_code, store_name, branch, region, circle, channel_group, channel_detail, longitude, latitude, rce_nik, rce",Ad-hoc
202602_Postpaid,Postpaid,reference_update.py,Excel files,IS Mapping Excel,BigQuery,data-nationalslsdist-prd-986g.postpaid.ref_is_mapping,"MERGE INTO with ROW_NUMBER() dedup","rce_nik, rce_name, postpaid_officer_nik, postpaid_officer_name, hopr_nik, hopr_name, hor_nik, hor_name, hopc_nik, hopc_name, region, circle, kpi_eligible",Ad-hoc
202602_Postpaid,Postpaid,reference_update.py,Excel files,DSA Mapping Excel,BigQuery,data-nationalslsdist-prd-986g.postpaid.ref_dsa_mapping,"MERGE INTO with ROW_NUMBER() dedup","store_code, region, dsa_nik, dsa_name, spv_nik, spv_name, kpi_eligible",Ad-hoc
202602_Postpaid,Postpaid,reference_update.py,Excel files,Promotor Mapping Excel,BigQuery,data-nationalslsdist-prd-986g.postpaid.ref_promotor_mapping,"MERGE INTO with ROW_NUMBER() dedup","store_code, store_name, promotor_nik, promotor_name, promotor_spv_nik, promotor_spv_name, partner, channel, circle, region",Ad-hoc
202602_Postpaid,Postpaid,reference_update.py,Excel files,Branch Mapping Excel,BigQuery,data-nationalslsdist-prd-986g.postpaid.ref_branch_mapping,"MERGE INTO with ROW_NUMBER() dedup","branch_code, branch_name, region",Ad-hoc
202602_Postpaid,Postpaid,pst_daily_kpi.py,BigQuery,Multiple postpaid tables,GCS / Cloud Drive,"data-nationalslsdist-prd-986g bucket; dsn:postpaid/",Daily KPI aggregation; Excel/CSV export; rclone upload to shared drive,"kpi_code, kpi_value, dt_id",Daily
202602_Postpaid,Retail,retail_3id_kpi.py,BigQuery,Retail 3ID tables,BigQuery / GCS,Retail KPI outputs,FCR and CSAT KPI calculation for 3ID brand,"kpi_code, kpi_value, store_code",Daily
202602_Postpaid,Retail,retail_im3_kpi.py,BigQuery,Retail IM3 tables,BigQuery / GCS,Retail KPI outputs,FCR and CSAT KPI calculation for IM3 brand,"kpi_code, kpi_value, store_code",Daily
202602_Postpaid,Retail,rtl_daily_kpi.py,BigQuery,Multiple retail tables,BigQuery / GCS / Cloud Drive,Daily retail KPI exports,Daily retail KPI aggregation and distribution,"kpi_code, kpi_value, dt_id",Daily
202602_Postpaid,Retail,retail_raw_master_kpi.py,BigQuery,Raw retail data,BigQuery,Master KPI table,Master KPI consolidation for retail,"store_code, kpi_code, kpi_value",Daily
202602_Postpaid,Retail,retail_cc.py,External DB (MySQL via SSH),Cockpit DB (10.0.144.159:3306),BigQuery,Retail CC data,SSH tunnel to MySQL; data extraction and load,"interaction_id, store_code, metrics",Daily
202602_Postpaid,Retail,retail_sdp_interactions.py,External DB,SDP interaction tables,BigQuery,SDP interaction data,SDP interaction data extraction,"msisdn, interaction_type, timestamp",Daily
202602_Postpaid,Retail,retail_ipos_upload.py,Local/GCS,IPOS files,BigQuery / HDFS,IPOS data tables,IPOS file parsing and upload,"store_code, transaction_id, fields",Daily
202602_Postpaid,Scripts,copy_ipos_file.py,GCS,IPOS source files,Local / HDFS,IPOS destination,File copy and distribution of IPOS files,"file_name, file_date",Daily
202602_Postpaid,Scripts,dataset_cleaning.py,BigQuery,Various datasets,BigQuery,Cleaned datasets,Data quality cleaning operations,"table_name, cleaning_rules",Ad-hoc
202602_FTTH,Staging,orbit_stagging_1.sql,BigQuery,"stg_catalist_dly_ba, dm.ftth_subscriber, orbit_com_cumulative_subs, stg_catalist_dly_ast",BigQuery,"tysg_ftth_stg_subs_1, tysg_ftth_stg_orbit_subs","Join Catalist BA with Orbit data; determine account status (Active/Suspended/Terminate); extract package info","customer_id, billing_account, ca_id, ba_id, ac_st, ac_st_dt, ac_st_reason, flag_account, so_date, sa_date, pa_date, current_package, current_package_price",Daily
202602_FTTH,Staging,orbit_stagging_2.sql,BigQuery,"stg_catalist_dly_ordr, stg_catalist_dly_ast, ftth_stg_orbit_subs",BigQuery,"tysg_temp_cpp_order, tysg_temp_cpp_products, tysg_temp_subs_orbit","Change Package Processing; extract before/after packages; speed parsing regex for Mbps values","billing_account, product_before, product_after, speed_legacy, speed_current, ba_id, cpp_date",Daily
202602_FTTH,Staging,orbit_stagging_3.sql,BigQuery,"stg_catalist_dly_ast, stg_catalist_dly_ordr, changes_only, tysg_temp_cpp_products",BigQuery,tysg_temp_change_product_dev,"Complex product change logic; identify normalize/massloader CPP; speed change detection; status_package classification","product_before, speed_before, product_after, speed_after, status_package, order_type",Daily
202602_FTTH,Staging,orbit_stagging_4.sql,BigQuery,"tysg_ftth_stg_subs_1, tysg_ftth_cpp_orbit, dim_ftth_customer_asset, mlg_ftth_product_catalog",BigQuery,tysg_ftth_orbit_cumulative_subs,"Cumulative subscriber build; merge staging subs with CPP history; join customer assets; resolve package from catalog","current_package_date, legacy_package, package_before, current_package, current_package_price, asset_name, phone_no, email",Daily
202602_FTTH,Generate Site ID,f_ftth_generate_site_id_for_new_ba.sql,BigQuery,"ftth_customer_funneling_in_progress, stg_catalist_dly_ba, stg_catalist_dly_ordr, ftth_hpm, tysg_master_homepass_rfs",BigQuery,tysg_ast_reference_recon,"Match new BA with homepass coordinates; join HPM for site info; extract device_id from FAT_ID","customer_id, billing_account, ca_id, ba_id, site_id, device_id, hpid, customer_lat, customer_long, sa_addr, ft_province, ft_dati_ii, ft_kecamatan, ft_kelurahan",Daily
202602_FTTH,Generate Site ID,f_ftth_generate_site_id_recon_sa.sql,BigQuery,"ftth_subscriber_order_history, stg_catalist_dly_ba, stg_catalist_dly_ordr, ftth_hpm, ftth_toms_homepass, tysg_master_homepass_rfs",BigQuery,ftth_sa_temp,"Service Activation matching; join HPDB for homepass IDs; anomaly flagging for uncovered areas","customer_id, billing_account, ca_id, ba_id, device_id, hpid, sa_addr, site_id, partner_name, is_anomaly, so_date, sa_date, pa_date",Daily
202602_FTTH,Generate Site ID,f_ftth_generate_site_id_recon_ga.sql,BigQuery,"ftth_customer_funneling_complete_vw, stg_catalist_dly_ba, stg_catalist_dly_ordr, ftth_hpm, ftth_toms_homepass, tysg_master_homepass_rfs",BigQuery,ftth_ga_temp,"Gross Add reconciliation; join HPM/TOMS for device mapping; exclude already-covered customers","customer_id, billing_account, ca_id, ba_id, so_date, pa_date, device_id, hpid, site_id, partner_name, is_anomaly",Daily
202602_FTTH,Generate Site ID,f_ftth_update_sa_ga_site_id_recon.sql,BigQuery,"ftth_sa_temp, ftth_ga_temp",BigQuery,tysg_ast_reference_recon,"MERGE procedure; conditionally update SA/GA temps into main recon table; dynamic column list generation","All fields from temp tables merged",Daily
